id,name,artists,album,year,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
7bOlOJHn9IOaXX7IwaK905,Through the Storm,YoungBoy Never Broke Again | ,Until Death Call My Name (Reloaded),2018,68,0.881,0.581,5,-5.162,1,0.0901,0.631,0.0,0.0986,0.876,78.508,163567,4
5wztfyU8SnDdNzSXwNQEfJ,Dia Dia Dole,Yuvan Shankar Raja | Suchitra,Avan Ivan (Original Motion Picture Soundtrack),2011,46,0.477,0.973,3,-5.393,0,0.197,0.234,0.119,0.226,0.696,83.371,242200,4
6CIYa2SnyTWLwqSCacLuXF,Alwarpet Andava,Bharadwaj | Kamal Haasan,Vasool Raja MBBS (Original Motion Picture Soundtrack),2004,42,0.736,0.504,2,-11.013,1,0.179,0.351,0.0,0.15,0.652,80.92,321907,3
7hXpG7nAwWspR8Mssniov4,O Venilla,Deva | Hariharan,Ninaivirukkum Varai (Original Motion Picture Soundtrack),1999,40,0.458,0.44,9,-8.924,0,0.0287,0.619,0.042,0.157,0.561,185.968,346333,3
5BoixLIVWjFbzurhaZvHwA,You're Awesome,Bryan Adams | ,You're Awesome,2023,42,0.674,0.919,2,-3.47,1,0.0288,0.185,0.0,0.222,0.961,126.02,170293,4
3IORLAm07yxo4T7B8cRET3,Look For The Good (Single Version),Jason Mraz | ,Look For The Good,2020,34,0.71,0.615,0,-8.23,1,0.133,0.0384,0.0,0.283,0.746,90.263,239698,4
0GR7iJLhj80KD5LkA14ZRn,Digital Dash,Drake | Future,What A Time To Be Alive,2015,65,0.881,0.546,2,-7.566,1,0.12,0.00296,4.72e-06,0.226,0.276,140.032,231231,4
5S60dDeUtcCN0C6BsptsdN,Enamorado Por Primera Vez,Enrique Iglesias | ,Vivir,1997,58,0.569,0.467,11,-8.558,1,0.0285,0.716,0.0,0.126,0.365,127.826,268773,4
0Ij0jNxXM90i2b1BwfKwzp,Neeyum Naanum,Benny Dayal | Shreya Ghoshal,Mynaa (Original Motion Picture Soundtrack),2010,11,0.673,0.735,7,-3.694,1,0.0271,0.0525,2.44e-06,0.0826,0.427,109.989,297091,4
3uRLBAYeAqiHyVAdi5EsLG,Dumm Dumm,Nakash Aziz | ,Darbar (Tamil) (Original Motion Picture Soundtrack),2020,6,0.735,0.936,8,-5.871,0,0.105,0.119,0.00299,0.0368,0.755,141.947,272500,4
4nX0jG14mSIi0LcmK3sq0b,Home (with Michael Bublé),Cher | Michael Bublé,Christmas,2023,48,0.545,0.388,1,-7.047,1,0.0306,0.746,0.0,0.0942,0.259,127.866,224587,4
1nfzHDbYXHzgPoVGc8gJP2,Nila Nee Vaanam,Sabesh Murali | Vijay Yesudas,Pokkisham (Original Motion Picture Soundtrack),2009,55,0.753,0.574,9,-7.624,0,0.0317,0.158,6.56e-05,0.207,0.703,136.019,346000,4
3wvzdDVRrYWQtn5tr3oJOY,Vaa Vasuki,D. Imman | Shivam Mahadevan,Seeru (Original Motion Picture Soundtrack),2020,58,0.734,0.696,4,-5.622,0,0.029,0.308,0.0,0.258,0.585,120.001,259615,4
3uiSUJ8dw0kf6MIZFnwnEu,Rajakumari Rajakumari,Sadhasivam V | ,Rajakumari Rajakumari,2023,3,0.701,0.771,7,-7.348,1,0.2,0.476,0.0,0.429,0.591,129.929,384207,4
5jmYu7XY4zd3mJfizA8t1K,Let Me Be Sad,I Prevail | ,TRAUMA,2019,62,0.478,0.574,3,-5.645,0,0.0288,0.000355,7.15e-06,0.151,0.0407,129.02,214227,4
2k3iE7YUxvRgEQXYd6dtBs,Poopol Poopol,Tippu | Karthik,Minnalae (Original Motion Picture Soundtrack),2001,46,0.685,0.355,5,-17.216,0,0.0614,0.455,0.0626,0.0477,0.493,103.025,116707,4
3peCAGvd86EKfjlYELknUB,Welcome To My Paradise,WayV | ,Welcome To My Paradise,2023,50,0.652,0.91,10,-3.676,0,0.0478,0.0405,0.0,0.0547,0.945,150.066,195443,4
3J47OxSJqByT0shVkrUT4T,Kangaroo Conga,Jugy | ,Buggy Rum,2023,26,0.763,0.535,5,-8.046,0,0.112,0.0252,0.822,0.0959,0.681,105.605,116134,4
2S6DBGSl8c7hWZmC7R0Lgj,Top Tucker,Mohit Chauhan | ,Sarkar (Tamil) [Original Motion Picture Soundtrack],2018,53,0.721,0.657,11,-8.304,1,0.0319,0.0322,0.00109,0.0618,0.454,132.97,223499,4
50bxa1GKIhNkp0JNqXAEVw,Oru Koottu,Malaysia Vasudevan | ,Padikkathavan (Original Motion Picture Soundtrack),1985,49,0.755,0.654,10,-9.774,0,0.0522,0.781,0.000344,0.0831,0.832,91.724,227370,3
6UnCGAEmrbGIOSmGRZQ1M2,Light On,Maggie Rogers | ,Heard It In A Past Life,2019,70,0.657,0.569,2,-6.287,1,0.0542,0.201,1.38e-05,0.126,0.399,102.054,233880,4
4VVnprM3eR1hlac2ulGzjv,Keep It Moving,Turnstile | ,Step to Rhythm,2013,47,0.324,0.956,11,-3.803,1,0.188,0.00072,0.0,0.0651,0.137,91.157,197434,3
4PMmLWY5XgPlKVC9fMoi7y,Aathadi Ammadi,K. S. Chithra | ,Idhayathai Thirudathe (Original Motion Picture Soundtrack),1989,20,0.749,0.617,1,-9.509,1,0.0987,0.739,0.0324,0.184,0.781,154.853,265600,4
6XWQQoeqyHcQ0NlXt0iVDM,Chella Kutti,G. V. Prakash | Vijay,Theri (Original Motion Picture Soundtrack),2016,53,0.691,0.737,0,-5.648,1,0.102,0.355,8.96e-05,0.0915,0.679,140.05,290603,4
7eZyqCeJvF8u09K3GORi69,Ulavum Thendral  Pt. 1,Thiruchi Loganathan | Jikki,Manthiri Kumari (Original Motion Picture Soundtrack),1960,12,0.472,0.37,2,-8.819,1,0.0521,0.969,0.0156,0.143,0.746,181.888,204720,3
2ckBODOwPyS8oRLMmP55AU,Quit Playing Games,Bsott | ,Quit Playing Games,2023,22,0.802,0.35,11,-14.822,0,0.33,0.636,0.0,0.128,0.665,95.033,121887,4
1tIQsL6NYYHvQxb0Ua1KHM,Megam Kottatum,S. P. Balasubrahmanyam | ,Enakkul Oruvan (Original Motion Picture Soundtrack),1984,30,0.667,0.612,5,-11.819,0,0.0712,0.377,0.853,0.445,0.721,82.965,335107,4
5WTxbyWTpoqhdxEN2szOnl,Everybody (Backstreet's Back) - Extended Version,Backstreet Boys | ,Backstreet Boys,1996,62,0.792,0.81,10,-5.198,0,0.0368,0.00609,0.000153,0.224,0.509,108.054,287293,4
6SGdpaX81l7GkNNG1dxHw0,My Girl,Lee | ,Lo-fi of Lee,2020,27,0.673,0.0445,9,-14.562,0,0.046,0.775,0.913,0.085,0.192,86.003,228837,4
2yVNf4eA1HvTNQxBLl7k7f,Annatha,Ilaiyaraaja | Gangai Amaran,Ingeyum Oru Gangai (Original Motion Picture Soundtrack),1984,9,0.541,0.585,0,-5.898,1,0.038,0.671,0.0273,0.514,0.428,116.165,119451,4
5H8FLge4q6wnp3AEwPnUSm,Oru Vidha Aasai - The Temptation of Maari,Anirudh Ravichander | Vineeth Sreenivasan,Maari (Original Motion Picture Soundtrack),2015,39,0.724,0.863,7,-4.937,0,0.0675,0.206,0.00024,0.125,0.777,104.988,191842,4
